week_start,net_sales,facebook_ads_cost,google_ads_cost,bing_ads_cost,pinterest_ads_cost,tiktok_cost,the_trade_desk_cost,organicsearch_sessions,organicsocial_sessions,email_sessions
2023-06-26,89227.67,5083.529999,4866.974524,0.0,0.0,0.0,0.0,4613,826,2990
2023-07-03,315951.89999999991,14064.849999999999,15332.101635,0.0,0.0,0.0,0.0,17454,1739,20609
2023-07-10,291129.51,11130.52,11266.255054000001,1431.639999,0.0,0.0,0.0,18914,1026,13347
2023-07-17,537189.07000000007,13956.609999,8155.8449879999989,0.0,0.0,0.0,0.0,20149,3852,24851
2023-07-24,322195.41000000003,31967.809999,11818.230835,2239.429995,0.0,0.0,0.0,21532,1508,15576
2023-07-31,346426.06,33168.649999,12722.151308,1139.719997,0.0,0.0,0.0,21158,3482,11451
2023-08-07,321323.02000000008,28564.149999999998,12008.186982000001,721.28999800000008,0.0,0.0,0.0,24294,1531,15423
2023-08-14,347667.87,29500.93,12776.642308999999,727.12999800000011,0.0,0.0,0.0,22775,2757,13547
2023-08-21,337060.00999999995,28270.329999,14303.540202,722.089999,0.0,0.0,0.0,25077,3168,15717
2023-08-28,352248.44000000006,33552.459998000006,12417.587453,718.109997,0.0,0.0,0.0,27610,1309,19140
2023-09-04,407425.48,32736.729999999996,15753.599791999999,723.139998,0.0,0.0,0.0,26295,3588,21718
2023-09-11,359434.92999999993,34085.89,16266.491558999998,725.41000000000008,0.0,0.0,0.0,24959,2860,13095
2023-09-18,362458.58,43283.969999999994,23332.221810000003,723.299998,0.0,0.0,0.0,24845,2588,13800
2023-09-25,427116.41000000003,47880.76,21480.432561,665.1,0.0,0.0,0.0,26586,1803,19557
2023-10-02,456265.08000000007,61754.259997000008,23527.084835999998,751.38,0.0,0.0,0.0,26908,2638,22216
2023-10-09,577139.41,62482.459995,29921.942186,722.56999600000006,0.0,0.0,0.0,33386,2751,26674
2023-10-16,540131.6,63416.889998999992,42383.515147,622.07999899999993,0.0,0.0,0.0,33322,3958,18107
2023-10-23,542526.29,62446.84,34310.497665999996,733.919998,0.0,0.0,0.0,34127,2441,13963
2023-10-30,729577.39,81299.139998,37744.56292,1100.149999,0.0,0.0,0.0,43358,4283,19485
2023-11-06,723539.0,89699.36,46553.293178,2215.02,0.0,0.0,0.0,47955,4460,20695
2023-11-13,772934.36,93765.829999999987,51385.260252,1530.9399980000003,0.0,0.0,0.0,53092,5952,24102
2023-11-20,1821701.6500000001,141008.31,78680.807572,1113.989998,0.0,0.0,0.0,93686,5571,47924
2023-11-27,2056200.52,167559.40999900002,83732.199241,1008.3399929999999,0.0,0.0,0.0,82935,4425,45962
2023-12-04,2197017.55,178260.42999899999,101922.889814,1052.989998,0.0,0.0,0.0,70610,6349,54508
2023-12-11,2264682.67,173858.77,74789.019122,1044.079999,0.0,0.0,0.0,74390,7878,32553
2023-12-18,755219.03,34957.3,21840.022619,900.23999599999991,0.0,0.0,0.0,46166,2078,20536
2023-12-25,632998.75,29307.739998999998,18552.193515000003,898.969995,0.0,0.0,0.0,47563,4490,19133
2024-01-01,615317.55999999994,44910.859997999993,36133.530625999992,727.259995,0.0,0.0,0.0,46082,3537,15543
2024-01-08,638957.12,48901.099998,36716.094312999994,680.649997,0.0,0.0,0.0,44340,2700,35852
2024-01-15,651510.47,49329.079999,34272.203155,665.99999500000013,0.0,0.0,0.0,51527,4017,26329
2024-01-22,500156.88,47969.840000000004,31229.717556000003,663.41999300000009,0.0,0.0,0.0,41140,2942,21094
2024-01-29,504683.1,48922.059999000005,31241.170294,755.709996,0.0,0.0,0.0,34913,2810,17087
2024-02-05,565072.49,49063.809999,36795.64305,705.80999700000007,0.0,0.0,0.0,31249,3457,23377
2024-02-12,456947.47999999992,49054.729997999995,30499.386821,727.369998,0.0,0.0,0.0,35241,1616,23431
2024-02-19,468787.32000000007,56113.109999,23534.263249000003,750.75999900000011,0.0,0.0,0.0,34276,2482,17616
2024-02-26,512897.76,60309.659998999996,27286.820654999996,1476.149993,0.0,0.0,0.0,32435,2646,19527
2024-03-04,447569.87,52621.449999000004,25980.099310999998,1111.9599940000003,0.0,0.0,0.0,31309,2521,18480
2024-03-11,417992.59,51760.16,23833.80828,1010.839997,0.0,0.0,0.0,30690,3932,8301
2024-03-18,461556.73,49327.239999,21111.47829,1181.909998,0.0,0.0,0.0,32337,2193,15694
2024-03-25,437107.93,48814.029999,36473.384162,963.01999799999987,0.0,0.0,0.0,32432,5307,15711
2024-04-01,466589.37,38717.759999,18276.465557000003,1065.889996,0.0,0.0,0.0,34596,2187,33848
2024-04-08,571943.92999999993,34923.409999999996,6017.705028,991.479996,0.0,0.0,0.0,29754,2453,27713
2024-04-15,454712.87,23881.359997,10825.733607999999,760.859998,0.0,0.0,0.0,30800,1753,45676
2024-04-22,424152.8,21891.919999,10651.988386,767.359997,0.0,0.0,0.0,32934,2790,25474
2024-04-29,627718.84000000008,38307.649999,9288.8018010000014,696.229999,0.0,0.0,0.0,34619,8799,41627
2024-05-06,425716.52999999997,30770.909998000003,10437.992827,660.81000000000006,0.0,0.0,0.0,31380,1809,16261
2024-05-13,426897.20999999996,33293.189998999995,11071.609121,657.97999600000014,0.0,0.0,0.0,35323,1255,23208
2024-05-20,408755.59000000008,46887.809998,14929.669291999999,602.079997,0.0,0.0,0.0,33169,3531,17612
2024-05-27,474204.56000000006,47905.639998,13756.228956999998,737.16999800000008,0.0,0.0,0.0,31968,2940,23578
2024-06-03,572545.49,51946.329997999994,10707.465609,672.619999,0.0,0.0,0.0,29585,2581,21734
2024-06-10,434626.85,46692.369997,11328.383619,661.44999899999993,0.0,0.0,0.0,28125,2276,14372
2024-06-17,425106.24000000005,53912.959996000005,11546.731898000002,761.879998,0.0,0.0,0.0,26190,2310,24970
2024-06-24,373444.60000000003,43223.589995999995,11574.902241000002,887.379995,0.0,5066.759999,0.0,24315,2451,12968
2024-07-01,384114.57,45299.05,12714.402358,850.639999,0.0,7004.61,0.0,24955,2049,25709
2024-07-08,345191.38,41905.329998999994,10359.314245,807.409999,0.0,5538.3799990000007,0.0,24688,2327,17907
2024-07-15,446511.71,49035.86,10686.87437,764.14999900000009,0.0,4970.1200000000008,11307.510920999997,25478,3560,33974
2024-07-22,349709.08999999997,39697.739998000005,9794.746656,716.78999699999986,0.0,4852.4599990000006,9790.2961380000015,23580,1308,27072
2024-07-29,380840.04,40182.889999,9817.2803130000011,635.649999,0.0,10000.749999999998,10647.218747999998,27053,2846,28110
2024-08-05,397717.12,42349.130000000005,27169.778134,468.81999699999994,0.0,2370.9099979999996,12690.161891,23760,1452,19193
2024-08-12,393778.39,38584.149999,13391.108814000001,754.049999,0.0,2338.32,11140.503725999999,27576,3675,16712
2024-08-19,369386.89999999997,38406.76,6584.0082189999994,1366.319996,0.0,2437.19,10006.471228,30334,1569,10174
2024-08-26,327534.48,40523.269999000004,6087.595751,1321.609997,0.0,2422.26,10028.511389,30136,3118,15463
2024-09-02,388442.25,48064.589998999996,12476.810970999999,1347.589999,0.0,3351.459999,11737.031695000001,29741,2646,12616
2024-09-09,384613.17000000004,53493.299999,16777.224323,1268.539998,0.0,4350.84,11648.207236,28149,2004,24254
2024-09-16,499298.33,51862.500000000007,17395.813804,1323.299998,0.0,4755.2900000000009,11845.438129999999,27047,2929,41218
2024-09-23,471512.93,49691.749999,16529.459563999997,1250.389998,0.0,4486.31,11937.944028999998,24611,2295,19125
2024-09-30,500376.42,53019.22,28958.019071000002,854.509998,0.0,6582.0199999999995,1719.895858,26444,2608,26000
2024-10-07,480456.99,67488.73,36043.619905,1195.619995,0.0,7169.6000000000013,0.0,25809,3190,18674
2024-10-14,721473.76,92152.129999,34844.775626999995,1970.179994,0.0,9543.5699999999979,0.0,31686,5893,26876
2024-10-21,552482.85,100997.55999799998,50089.25829,3311.7099909999997,0.0,11770.439999999999,0.0,30182,5745,18538
2024-10-28,731020.35000000009,113817.73999799999,57734.187572,6040.669997,0.0,15584.750000000002,0.0,35109,5948,35393
2024-11-04,861274.14999999991,111648.44,55911.788724,3465.3399950000003,0.0,12604.36,0.0,38414,5996,33168
2024-11-11,1090114.57,117979.14,58125.003901000004,2818.6199970000002,0.0,9903.169999,0.0,45493,7598,33360
2024-11-18,1074004.94,144022.97999999998,78657.946317000009,2933.769998,0.0,1869.54,0.0,58123,10733,31565
2024-11-25,2530962.3299999996,209185.24,104255.434593,2891.409996,0.0,0.0,0.0,107588,17287,59197
2024-12-02,2912060.55,227668.33999500002,140397.78995600002,3542.1199949999996,0.0,0.0,0.0,94306,15607,53266
2024-12-09,3126578.61,168246.609998,172217.18845499997,3463.419996,0.0,0.0,0.0,77065,12871,36071
2024-12-16,1489933.4600000002,48562.489999000005,30481.006575,870.579999,0.0,0.0,0.0,62949,7014,23007
2024-12-23,647475.36999999988,36439.679997,27010.044209,0.0,0.0,0.0,0.0,46280,4202,18888
2024-12-30,729578.29,46631.75,32896.420155,0.0,0.0,0.0,0.0,41985,6206,34036
2025-01-06,717675.95,48275.79,42817.379149999993,1938.689997,0.0,0.0,0.0,44173,6133,17502
2025-01-13,735201.45,56507.379999,41741.72262,2553.469996,0.0,0.0,0.0,42039,4588,33672
2025-01-20,648247.95,57206.579999000009,41546.60822899999,3146.3999919999997,0.0,0.0,0.0,42358,7002,17846
2025-01-27,596587.69,64291.89,25915.255004,1828.3099949999998,0.0,0.0,0.0,34244,8056,24657
2025-02-03,582631.87,56985.999998999992,26537.736772,1105.309999,0.0,0.0,0.0,33622,17518,16035
2025-02-10,511002.26999999996,57556.429996000006,32828.493604,1205.249997,1403.704108,1695.479998,0.0,35666,13763,18575
2025-02-17,531550.45,60303.40999900001,35821.171522000004,1222.8899979999999,4293.6036810000005,1719.73,0.0,37924,10401,18539
2025-02-24,563747.94,68349.339999,38969.033631,1221.2699949999999,4870.361756,3790.4100000000003,0.0,30773,8944,32249
2025-03-03,508694.22000000009,63808.819999,21703.680531,1250.419998,2477.6757499999994,1699.1699999999998,0.0,32871,8579,18095
2025-03-10,498759.06,41864.759999,20488.261714999997,1221.299999,1977.148579,2590.279998,0.0,31786,5942,17782
2025-03-17,573902.10000000009,46892.659995999995,22881.794708,1149.8699960000001,1948.0430970000002,2776.84,0.0,29963,6855,17544
2025-03-24,493015.58999999997,44141.639997,25772.20241,1079.179999,1966.3816930000003,2613.859998,1247.865342,28883,8620,14503
2025-03-31,500928.82,38681.129998000004,22865.801923,1124.389998,3180.320064,5191.989998,8703.352201,30603,7381,20825
2025-04-07,492382.07,37986.039999,21443.519415000002,1140.5199980000002,3512.0290330000003,5677.369998,8992.221884999999,28894,6911,22030
2025-04-14,501299.02999999991,34353.389999,20046.973036,1367.7999950000003,3493.4938530000004,6000.519999,9079.408506,28495,6387,25640
2025-04-21,537464.02,30585.299999,20117.701741999997,1152.949995,3500.936319,5020.5099969999992,9196.396062,29345,3005,20737
2025-04-28,580841.72,28888.72,23744.21023,984.369998,3831.914132,6519.4,9386.961083,29215,2909,15080
2025-05-05,569578.88,29761.559997,22198.349821000003,738.829998,4524.2581470000005,4993.33,9508.577165,28809,3009,34757
2025-05-12,478459.64999999997,31824.219998,21419.622854,860.479999,4621.564366,4269.989999,9365.730319,29397,2565,15098
2025-05-19,456431.74000000005,34974.639998,19470.152169,1555.419996,4612.539656,4163.7699999999995,9263.163248,32835,3137,28642
2025-05-26,443154.32000000007,27508.429998999996,12901.580474,1367.8299969999998,3664.960695,2226.82,7262.469085,33081,2760,16834